CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,255,No,No,Yes,Yes,Yes,No,?,3.25,19,1,0,0,11.263157,0,2,Low
?,486,No,Yes,No,Yes,No,No,?,4.47,27,1,0,0,14.185185,2,1,High
?,400,No,Yes,No,Yes,No,No,?,4.48,27,1,0.037037,0.037037,18.259259,4,0,High
?,487,No,Yes,No,Yes,No,No,?,4.49,29,0.965517,0.034482,0,12.827586,2,1,High
?,537,Yes,No,Yes,No,Yes,No,?,2.52,39,1,0,0,11.25641,0,0,Low
?,429,Yes,No,Yes,No,Yes,No,?,2.32,33,1,0,0,16.363636,0,0,Low
?,460,Yes,No,Yes,No,Yes,No,?,2.38,37,1,0,0,13.864864,0,0,Low
?,463,Yes,No,Yes,No,Yes,No,?,2.17,46,1,0,0,14.586956,0,0,Low
?,433,Yes,No,Yes,Yes,Yes,No,?,2,36,1,0,0,13.138888,0,1,Low
?,499,Yes,No,Yes,Yes,Yes,No,?,2.61,38,0.973684,0,0,17.447368,0,1,Low
?,486,Yes,No,Yes,Yes,Yes,No,?,2.4,38,0.973684,0,0,11.894736,0,0,Low
?,381,Yes,No,Yes,Yes,Yes,No,?,2.67,32,0.90625,0,0,16.21875,0,1,Low
?,455,Yes,No,Yes,Yes,Yes,No,?,2.79,33,1,0,0,20.90909,0,1,Low
?,486,Yes,No,Yes,Yes,Yes,No,?,2.68,36,1,0,0,12.611111,0,0,Low
?,509,Yes,No,Yes,Yes,Yes,No,?,2.68,36,1,0,0,13.055555,0,0,Low
?,28,No,No,No,No,No,?,?,3.06,2,1,0,0,23,0,0,Low
?,645,Yes,No,Yes,Yes,Yes,Yes,?,2.99,42,0.97619,0,0,12,0,3,Low
?,14,No,No,No,No,No,No,?,2.55,8,1,0,0,13.75,0,0,?
?,45,No,No,No,No,No,No,?,4.33,4,1,0,0,2,0,4,High
?,390,No,No,No,Yes,No,No,?,3.89,25,1,0,0,16.12,0,2,High
?,404,No,No,No,Yes,No,No,?,4.23,27,1,0,0,15.481481,0,3,High
?,363,No,No,No,Yes,No,No,?,4.24,25,0.96,0,0,14.68,0,7,High
?,276,No,No,No,Yes,No,No,?,4.12,22,1,0,0,20.40909,1,2,High
?,454,No,No,No,Yes,No,No,?,4.06,33,1,0,0,12.666666,2,3,High
?,314,No,No,Yes,Yes,Yes,No,?,3.74,22,1,0,0,17.90909,2,0,High
?,337,No,No,No,Yes,No,No,?,4.31,27,1,0,0,12.814814,1,1,High
