CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,676,Yes,No,Yes,Yes,Yes,No,30,2.86,32,0.96875,0,0.03125,14.125,0,0,Low
?,956,Yes,No,Yes,Yes,Yes,No,26,2.97,45,0.933333,0,0,11.577777,0,0,High
?,840,Yes,No,Yes,Yes,Yes,No,25,2.36,47,0.978723,0,0,9.765957,0,3,Low
?,944,Yes,No,Yes,Yes,Yes,No,26,2.14,49,0.979591,0,0,12.489795,0,1,Low
?,1034,Yes,No,Yes,Yes,Yes,No,30,2.48,52,0.942307,0,0.01923,14.01923,0,3,Low
?,885,No,No,No,Yes,No,No,32,4,37,0.945945,0.054054,0,11.081081,1,12,High
?,900,No,No,No,Yes,No,No,32,4.02,41,0.975609,0,0,18.195121,7,2,High
?,1041,No,No,No,Yes,No,No,32,4.1,41,1,0,0,15.609756,1,9,High
?,857,No,No,Yes,No,Yes,No,30,2.24,37,1,0.054054,0,10.783783,1,3,High
?,992,Yes,No,Yes,No,Yes,No,28,2.19,46,1,0.021739,0.021739,13.608695,1,0,Low
D,392,Yes,No,Yes,No,Yes,No,27,?,18,0.222222,0.055555,0,6.277777,2,1,Low
D,301,Yes,No,No,No,Yes,No,27,2.78,18,0.611111,0.055555,0,4.611111,3,2,Low
?,1907,No,No,Yes,No,Yes,No,23,1.78,93,0.913978,0.021505,0,12.935483,3,6,Low
?,986,No,No,Yes,No,Yes,No,28,2.53,44,1,0,0,12.25,2,0,Low
?,761,No,No,Yes,No,Yes,No,28,2.49,35,1,0,0,11.742857,2,3,High
?,770,Yes,No,Yes,No,Yes,No,34,1.61,35,0.885714,0,0,7.942857,5,2,Low
?,589,Yes,Yes,Yes,No,Yes,No,31,2.07,28,0.964285,0.035714,0,9.714285,1,3,Low
?,856,No,No,Yes,No,Yes,No,30,2.12,40,0.95,0.025,0,15.25,2,0,Low
?,1029,Yes,No,Yes,No,Yes,No,30,2.09,44,0.977272,0,0,8.704545,4,5,Low
?,1015,Yes,Yes,Yes,Yes,Yes,No,34,2.91,42,0.95238,0,0,14.928571,1,1,Low
?,794,Yes,Yes,Yes,No,Yes,No,27,2.03,45,0.977777,0,0,9.288888,2,2,Low
?,845,Yes,No,Yes,No,Yes,No,28,1.95,46,0.804347,0.086956,0,9.347826,8,3,Low
?,852,Yes,No,Yes,No,Yes,No,31,2.41,40,0.9,0.05,0,12.95,4,4,Low
?,852,No,No,Yes,Yes,Yes,No,33,3.68,33,0.939393,0,0,15.484848,0,2,High
?,998,Yes,No,Yes,No,Yes,No,34,2.46,44,0.954545,0.022727,0,11,4,5,Low
?,1180,Yes,Yes,Yes,Yes,Yes,No,34,3.05,45,1,0,0,14.8,0,2,High
?,864,Yes,No,Yes,No,Yes,No,32,2.15,47,0.978723,0,0,8.914893,3,4,Low
?,1024,Yes,Yes,Yes,Yes,Yes,No,33,2.59,45,0.977777,0,0,14.933333,1,2,High
?,1511,Yes,Yes,Yes,Yes,Yes,No,33,3.33,59,0.98305,0,0,13.610169,0,3,High
?,1283,Yes,Yes,Yes,Yes,Yes,No,34,3.6,53,1,0,0,14.26415,1,1,High
?,859,Yes,No,Yes,No,Yes,No,32,1.74,37,0.945945,0.027027,0,7.972972,1,4,Low
D,143,No,No,Yes,No,Yes,No,15,1.88,12,1,0,0,4.333333,5,1,Low
D,?,?,?,?,?,?,No,28,2.13,16,0.5625,0.0625,0,3.125,4,5,?
D,314,No,No,Yes,No,Yes,No,29,1.97,17,0.411764,0,0,6.647058,0,1,High
?,?,?,?,?,?,?,No,6,1,2,1,0,0,3,0,0,?
D,326,Yes,No,No,No,Yes,No,30,2.88,18,0.722222,0,0,5.555555,0,3,High
D,207,No,No,Yes,Yes,No,No,27,2,12,0.916666,0,0,5.166666,2,2,High
D,215,No,No,Yes,No,Yes,No,29,2.27,11,0.636363,0,0,2.545454,5,1,High
D,518,Yes,No,Yes,No,Yes,No,25,2.34,30,0.533333,0,0,6.8,3,5,Low
D,361,No,No,Yes,No,Yes,No,25,2.04,14,0,0,0,6.714285,0,4,Low
?,1812,No,No,Yes,No,Yes,No,28,1.69,91,0.98901,0,0,6.21978,7,17,Low
?,1266,No,No,Yes,No,Yes,No,28,1.86,57,0.982456,0.017543,0,6.859649,5,3,Low
D,392,Yes,No,Yes,No,Yes,No,26,1.82,18,0.777777,0,0,2.277777,7,4,Low
D,156,No,No,Yes,No,Yes,No,22,2.64,10,0.9,0,0,3.6,1,3,Low
D,269,No,No,Yes,No,Yes,No,24,2.34,13,0.692307,0,0,4.384615,5,3,Low
D,300,No,No,Yes,No,Yes,No,22,1.81,15,0.733333,0,0,4.666666,2,4,Low
D,247,Yes,No,Yes,No,Yes,No,25,1.9,11,0.454545,0.090909,0,3.181818,4,2,Low
?,1035,No,No,Yes,No,Yes,No,29,1.62,48,0.979166,0,0,9.291666,2,8,Low
D,385,No,No,Yes,No,Yes,No,29,2.07,15,0.666666,0,0,3,6,0,High
D,230,No,No,Yes,No,Yes,No,24,2.16,11,0.454545,0,0,2.272727,4,5,Low
D,280,No,No,Yes,No,Yes,No,24,2.08,15,0.733333,0,0,4.466666,1,8,High
D,190,Yes,No,No,No,Yes,No,25,3.12,5,0.6,0.2,0,5.4,0,1,Low
D,261,Yes,No,No,No,Yes,No,20,3.09,15,0.4,0,0,3,4,4,Low
?,1783,No,No,Yes,No,Yes,No,33,1.53,77,0.844155,0,0,3.51948,11,42,Low
D,130,No,No,Yes,No,Yes,No,28,1.83,5,0.8,0.2,0,8.2,0,3,Low
D,213,Yes,No,Yes,No,Yes,No,22,2.78,8,0.625,0,0,2.25,4,2,Low
D,138,No,No,No,Yes,No,No,28,3.35,7,0.857142,0,0,1.714285,2,5,High
D,148,No,No,Yes,No,Yes,No,18,2.39,13,0.76923,0.076923,0.076923,4.692307,1,4,Low
D,173,Yes,No,No,No,Yes,No,?,2.89,4,0.75,0,0,3.75,1,1,Low
D,133,No,No,Yes,No,Yes,No,24,1,7,0.142857,0,0,3.857142,5,0,Low
D,96,No,No,Yes,No,Yes,No,?,1.82,5,0.8,0,0,1,5,0,Low
?,1313,No,No,Yes,No,Yes,No,31,1.85,65,0.953846,0,0,7.153846,9,8,Low
D,60,No,No,No,No,No,No,23,2.67,7,0.428571,0,0,4.857142,3,0,Low
D,58,No,No,No,No,Yes,No,11,2,6,0.5,0.166666,0,3.666666,2,0,High
D,?,?,?,?,?,?,No,18,2.58,5,0.6,0,0,6,2,0,?
?,119,No,No,Yes,No,Yes,No,?,3.03,16,1,0,0,15.875,0,1,?
?,1493,No,No,Yes,No,Yes,No,26,1.56,76,0.93421,0,0,11.223684,7,6,Low
?,1197,No,No,Yes,No,Yes,No,28,2.18,54,1,0,0.018518,9.703703,4,6,Low
?,2024,No,No,Yes,No,Yes,No,23,1.64,109,0.963302,0,0,8.293577,7,18,Low
?,1335,No,No,Yes,No,Yes,No,29,1.8,68,0.955882,0,0,13.029411,2,5,Low
?,1614,No,No,Yes,No,Yes,No,30,1.82,73,0.945205,0,0,10.863013,8,4,Low
?,1421,Yes,No,Yes,No,Yes,No,26,2.54,76,0.947368,0,0,9.407894,4,8,Low
?,1824,Yes,No,Yes,No,Yes,Yes,24,1.7,98,0.969387,0,0,12.295918,9,5,Low
?,2832,No,No,Yes,No,Yes,Yes,23,1.79,158,0.981012,0,0,9.303797,9,27,Low
?,959,No,No,Yes,No,Yes,No,26,1.95,50,0.94,0,0,10.66,1,6,Low
?,1699,Yes,No,Yes,Yes,Yes,No,30,2.01,78,0.974358,0.01282,0,12.794871,0,6,Low
?,1968,Yes,No,Yes,No,Yes,Yes,26,1.53,102,0.911764,0,0,7.529411,18,20,Low
?,971,Yes,No,Yes,Yes,Yes,No,27,2.8,51,0.941176,0,0,11.215686,3,2,Low
?,1700,Yes,No,Yes,Yes,Yes,No,29,2.24,79,0.987341,0,0,7.632911,4,8,Low
?,1778,No,No,Yes,No,Yes,No,28,1.77,100,0.98,0,0,9.43,2,12,Low
?,1414,Yes,No,Yes,No,Yes,No,26,1.72,76,0.907894,0,0,5,17,24,Low
?,1734,No,No,Yes,No,Yes,No,27,1.91,87,0.988505,0,0,12.160919,1,7,Low
?,1186,Yes,No,Yes,No,Yes,No,25,1.7,65,0.861538,0,0,8.2,12,6,Low
?,1960,No,No,Yes,No,Yes,No,25,1.73,98,0.989795,0,0,9.367346,8,7,Low
?,1413,No,Yes,Yes,Yes,Yes,No,29,2.6,63,1,0.015873,0,12.507936,0,3,High
?,1215,No,No,Yes,No,Yes,No,28,1.97,62,1,0,0,14.774193,0,3,Low
?,2299,No,Yes,Yes,Yes,Yes,Yes,28,2.09,109,0.963302,0,0,10.495412,10,7,Low
?,1610,Yes,Yes,Yes,Yes,Yes,No,27,2.78,77,1,0,0,14.311688,0,0,High
?,851,No,No,Yes,No,Yes,No,25,1.58,57,0.947368,0.017543,0,8.543859,8,9,Low
?,990,Yes,No,Yes,No,Yes,No,25,1.9,63,0.984126,0,0,5.841269,3,12,Low
?,857,Yes,No,Yes,No,Yes,No,26,2.12,50,0.98,0,0.02,12.78,1,4,Low
?,764,No,No,Yes,No,Yes,No,20,1.91,50,1,0,0,9.32,3,5,Low
?,2041,Yes,No,Yes,No,Yes,Yes,24,1.63,111,0.927927,0,0,8.45045,13,17,Low
?,1865,Yes,No,Yes,Yes,Yes,No,32,3.19,78,0.961538,0,0,10.397435,6,6,High
?,1164,No,No,Yes,Yes,Yes,No,33,2.52,58,0.982758,0,0,12.396551,1,5,Low
?,1755,Yes,No,Yes,No,Yes,No,25,1.79,101,0.960396,0,0,8.50495,8,16,Low
?,1634,No,No,Yes,Yes,Yes,No,28,2.01,84,0.97619,0,0,11.107142,0,5,Low
?,1716,No,Yes,Yes,No,Yes,No,30,1.86,78,0.987179,0,0,11.243589,1,4,Low
?,1004,No,No,Yes,No,Yes,No,23,1.77,63,0.95238,0,0,10.444444,10,4,Low
?,1893,No,No,Yes,No,Yes,No,26,1.75,99,0.979797,0,0,10.616161,11,14,Low
?,1745,Yes,Yes,Yes,Yes,Yes,No,29,3.17,74,1,0,0,15.094594,0,4,High
?,1702,No,Yes,Yes,Yes,Yes,No,29,2.82,78,1,0,0,11.051282,2,10,High
Y,1997,Yes,Yes,Yes,Yes,Yes,No,31,3.63,83,0.987951,0,0,10.602409,5,5,High
?,1716,Yes,Yes,Yes,Yes,Yes,No,32,2.95,70,1,0,0,13.585714,0,3,High
